Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Human immunodeficiency virus 1		isolate: DEMB11FR001	11676	ASM318804v1	GCA_003188045.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8846	8846	2013-11-12	9		
Human immunodeficiency virus 1		isolate: 05HT.129389	11676	ASM318808v1	GCA_003188085.1	GenBank	Annotation submitted by Institute of Human Virology, University of Maryland, Baltimore	Complete Genome	8398	8398	2008-07-24	9		
Human immunodeficiency virus 1		isolate: DEMB12JP001	11676	ASM318810v1	GCA_003188105.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9016	9016	2013-11-12	9		
Human immunodeficiency virus 1		isolate: HP-18:07JHS10-3909	11676	ASM318812v2	GCA_003188125.2	GenBank	Annotation submitted by Department of Microbiology, University of Ulsan College of Medicine	Complete Genome	9126	9126	2020-02-18	9		
Human immunodeficiency virus 1		isolate: 11RU21n	11676	ASM318815v1	GCA_003188155.1	GenBank	Annotation submitted by State Research Center of Virology and Biotechnology VECTOR	Complete Genome	9165	9165	2012-10-18	9		
Human immunodeficiency virus 1		isolate: SE600057	11676	ASM318820v1	GCA_003188205.1	GenBank	Annotation submitted by Department of Laboratory Medicine, Karolinska Institutet	Complete Genome	8813	8813	2015-02-25	9		
Human immunodeficiency virus 1		isolate: DEMB10TH002	11676	ASM318824v1	GCA_003188245.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8931	8931	2015-02-04	9		
Human immunodeficiency virus 1		isolate: 2609	11676	ASM318827v1	GCA_003188275.1	GenBank		Complete Genome	8954	8954	2016-07-14			
Human immunodeficiency virus 1		isolate: DEMC11BR035	11676	ASM318830v1	GCA_003188305.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9195	9195	2016-12-08	9		
Human immunodeficiency virus 1		isolate: YNFL19	11676	ASM318832v1	GCA_003188325.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	9013	9013	2013-09-27	9		
Human immunodeficiency virus 1		isolate: 622166	11676	v1.0	GCA_003188345.1	GenBank	Annotation submitted by Ragon Institute of MGH, MIT and Harvard	Complete Genome	8659	8659	2015-11-21	9		
Human immunodeficiency virus 1		isolate: ARP1198	11676	ASM318836v1	GCA_003188365.1	GenBank	Annotation submitted by Unidad de Biologia y Variabilidad del VIH, Instituto de Salud Carlos III. Centro Nacional de Microbiologia	Complete Genome	8863	8863	2015-08-10	9		
Human immunodeficiency virus 1		isolate: ET104	11676	ASM318840v1	GCA_003188405.1	GenBank	Annotation submitted by Laboratory Medicine, Karolinska Institutet	Complete Genome	8586	8586	2016-02-23	9		
Human immunodeficiency virus 1		isolate: NIRT008	11676	ASM318845v1	GCA_003188455.1	GenBank	Annotation submitted by Laboratory Medicine, Karolinska Institutet	Complete Genome	8699	8699	2016-10-26	9		
Human immunodeficiency virus 1		isolate: 10NG020523	11676	ASM318848v1	GCA_003188485.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, US Military HIV Research Program, WRAIR	Complete Genome	8727	8727	2016-07-15	9		
Human immunodeficiency virus 1		isolate: 11NP016	11676	ASM318852v1	GCA_003188525.1	GenBank		Complete Genome	8591	8591	2016-02-04			
Human immunodeficiency virus 1		isolate: DEMC14PK009	11676	ASM318854v1	GCA_003188545.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9188	9188	2016-12-08	9		
Human immunodeficiency virus 1		isolate: SE600311	11676	ASM318856v1	GCA_003188565.1	GenBank	Annotation submitted by Department of Laboratory Medicine, Karolinska Institutet	Complete Genome	8781	8781	2015-02-25	9		
Human immunodeficiency virus 1		isolate: CH457.w8	11676	ASM318858v1	GCA_003188585.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9693	9693	2013-02-13	9		
Human immunodeficiency virus 1		isolate: 17TB4_4G8	11676	ASM318860v1	GCA_003188605.1	GenBank	Annotation submitted by Medicine, Johns Hopkins University School of Medicine	Complete Genome	9050	9050	2013-09-11	9		
Human immunodeficiency virus 1		isolate: DEMC13ZA152	11676	ASM318862v1	GCA_003188625.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9094	9094	2016-12-08	9		
Human immunodeficiency virus 1		isolate: DEMC11ZM006	11676	ASM318866v1	GCA_003188665.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8984	8984	2013-11-12	9		
Human immunodeficiency virus 1		isolate: 10BR_RJ108	11676	ASM318870v1	GCA_003188705.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical	Complete Genome	8584	8584	2014-05-22	9		
Human immunodeficiency virus 1		isolate: LA17MuBo	11676	ASM318872v1	GCA_003188725.1	GenBank		Complete Genome	9839	9839	2016-01-11			
Human immunodeficiency virus 1		isolate: DEMD10CM009	11676	ASM318876v1	GCA_003188765.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8965	8965	2012-07-15	9		
Human immunodeficiency virus 1		isolate: CY163	11676	ASM318878v1	GCA_003188785.1	GenBank	Annotation submitted by Biological Sciences, University of Cyprus	Complete Genome	8143	8143	2009-06-01	9		
Human immunodeficiency virus 1		isolate: DEMD11KE003	11676	ASM318880v1	GCA_003188805.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8934	8934	2013-11-12	9		
Human immunodeficiency virus 1		isolate: 04KBH8	11676	ASM318886v1	GCA_003188865.1	GenBank	Annotation submitted by Microbiology, University of Ulsan College of Medicine	Complete Genome	9490	9490	2005-06-14	7		
Human immunodeficiency virus 1		isolate: DEMD10UG004	11676	ASM318888v1	GCA_003188885.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8904	8904	2013-11-12	9		
Human immunodeficiency virus 1		isolate: DEMD11UG003	11676	ASM318892v1	GCA_003188925.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8950	8950	2013-11-12	9		
Human immunodeficiency virus 1		isolate: 02YE516	11676	ASM318895v1	GCA_003188955.1	GenBank	Annotation submitted by Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8797	8797	2005-01-19	9		
Human immunodeficiency virus 1		isolate: AO.06.ANG32	11676	ASM318898v1	GCA_003188985.1	GenBank	Annotation submitted by Laboratory of AIDS and Molecular Immunology, Oswaldo Cruz Institute	Complete Genome	8257	8257	2009-05-22	9		
Human immunodeficiency virus 1			11676	ASM318902v1	GCA_003189025.1	GenBank	Annotation submitted by Hospital Garrahan, Laboratorio de Retrovirus	Complete Genome	8338	8338	2005-09-28	9		
Human immunodeficiency virus 1		isolate: 10BR_RJ015	11676	ASM318904v1	GCA_003189045.1	GenBank	Annotation submitted by virology, Instituto de medicina Tropical - USP	Complete Genome	8494	8494	2014-08-18	9		
Human immunodeficiency virus 1		isolate: DEMF111BR037	11676	ASM318908v1	GCA_003189085.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9221	9221	2016-12-08	9		
Human immunodeficiency virus 1		isolate: CY222	11676	ASM318910v1	GCA_003189105.1	GenBank	Annotation submitted by Biological Sciences, University of Cyprus	Complete Genome	8096	8096	2011-04-13	9		
Human immunodeficiency virus 1		strain: ES X845-4	11676	ASM318913v1	GCA_003189135.1	GenBank	Annotation submitted by Viral Pathogenesis, CNM. Instituto de Salud Carlos III	Complete Genome	8953	8953	2009-12-03	9		
Human immunodeficiency virus 1		isolate: VA0053_nfl	11676	ASM318916v1	GCA_003189165.1	GenBank	Annotation submitted by HIV Biology and Variability, Instituto de Salud Carlos III	Complete Genome	8935	8935	2015-02-04	9		
Human immunodeficiency virus 1		isolate: LA22LeRe	11676	ASM318918v1	GCA_003189185.1	GenBank		Complete Genome	9584	9584	2016-01-11			
Human immunodeficiency virus 1		isolate: LA20DuCl	11676	ASM318922v1	GCA_003189225.1	GenBank		Complete Genome	9734	9734	2016-01-11			
Human immunodeficiency virus 1		isolate: D88_845	11676	ASM318925v1	GCA_003189255.1	GenBank	Annotation submitted by HIV Biology and Variability, CNM. Instituto de Salud Carlos III	Complete Genome	9049	9049	2009-12-02	9		
Human immunodeficiency virus 1		isolate: DEMF210CM007	11676	ASM318928v1	GCA_003189285.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8936	8936	2012-07-15	9		
Human immunodeficiency virus 1		isolate: DEURF11CM026	11676	ASM318930v1	GCA_003189305.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9277	9277	2016-12-08	9		
Human immunodeficiency virus 1		isolate: LA23LiEd	11676	ASM318933v1	GCA_003189335.1	GenBank		Complete Genome	9711	9711	2016-01-11			
Human immunodeficiency virus 1		isolate: 789-10	11676	ASM318936v1	GCA_003189365.1	GenBank	Annotation submitted by Infectious Disease Research, Abbott Diagnostics	Complete Genome	9034	9034	2015-07-06	9		
Human immunodeficiency virus 1		isolate: DEMG10CM008	11676	ASM318938v1	GCA_003189385.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8979	8979	2012-07-15	9		
Human immunodeficiency virus 1		isolate: DEURF10CM020	11676	ASM318942v1	GCA_003189425.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9005	9005	2015-02-04	9		
Human immunodeficiency virus 1		isolate: GX-2084.08	11676	ASM318944v1	GCA_003189445.1	GenBank	Annotation submitted by Department of AIDS Research, Institute of Microbiology and Epidemiology	Complete Genome	8895	8895	2011-11-01	9		
Human immunodeficiency virus 1		isolate: ARP1201	11676	ASM318948v1	GCA_003189485.1	GenBank	Annotation submitted by Unidad de Biologia y Variabilidad del VIH, Instituto de Salud Carlos III. Centro Nacional de Microbiologia	Complete Genome	9104	9104	2015-08-10	9		
Human immunodeficiency virus 1		isolate: 03GH175G	11676	ASM318950v1	GCA_003189505.1	GenBank	Annotation submitted by Masashi Tatsumi, National Institute of Infectious Diseases, AIDS Research Center; Toyama 1-23-1, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	9725	9725	2006-12-15	9		
Human immunodeficiency virus 1		isolate: LA57LmNe	11676	ASM318955v1	GCA_003189555.1	GenBank		Complete Genome	9767	9767	2016-01-11			
Human immunodeficiency virus 1		isolate: DEMG09KE001	11676	ASM318957v1	GCA_003189575.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9001	9001	2013-11-12	9		
Human immunodeficiency virus 1		isolate: 12NG060409	11676	ASM318959v1	GCA_003189595.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, US Military HIV Research Program, WRAIR	Complete Genome	8884	8884	2016-07-15	9		
Human immunodeficiency virus 1		isolate: LA19KoSa	11676	ASM318964v1	GCA_003189645.1	GenBank		Complete Genome	9760	9760	2016-01-11			
Human immunodeficiency virus 1		isolate: LA25LeMi	11676	ASM318966v1	GCA_003189665.1	GenBank		Complete Genome	9443	9443	2016-01-11			
Human immunodeficiency virus 1		isolate: 00GBAC4001	11676	ASM318970v1	GCA_003189705.1	GenBank	Annotation submitted by AIDS Research and Retrovirus Discovery, Abbott Diagnostics	Complete Genome	9081	9081	2009-07-24	9		
Human immunodeficiency virus 1		isolate: LA26DiAn	11676	ASM318972v1	GCA_003189725.1	GenBank		Complete Genome	9692	9692	2016-01-11			
Human immunodeficiency virus 1		isolate: 569M	11676	ASM318974v1	GCA_003189745.1	GenBank	Annotation submitted by U.S. Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8762	8762	2009-09-23	9		
Human immunodeficiency virus 1		isolate: 1156-26	11676	ASM318976v1	GCA_003189765.1	GenBank	Annotation submitted by Infectious Disease Research, Abbott Diagnostics	Complete Genome	8855	8855	2015-07-06	9		
Human immunodeficiency virus 1		isolate: DE00112CN011	11676	ASM318982v1	GCA_003189825.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8939	8939	2015-02-04	9		
Human immunodeficiency virus 1		isolate: HK001	11676	ASM318984v1	GCA_003189845.1	GenBank	Annotation submitted by Department of Medicine, The Chinese University of Hong Kong	Complete Genome	9056	9056	2005-10-25	9		
Human immunodeficiency virus 1		isolate: 10IR.THR48F	11676	ASM318987v1	GCA_003189875.1	GenBank	Annotation submitted by Contact:Fatemeh Jahanbakhsh Tehran University of Medical Sciences, Virology; Hemmat Highway, Tehran, Tehran 009821, Iran	Complete Genome	8667	8667	2012-08-28	9		
Human immunodeficiency virus 1		isolate: DE00111JP003	11676	ASM318990v1	GCA_003189905.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9025	9025	2013-12-13	9		
Human immunodeficiency virus 1		isolate: SE601018	11676	ASM318992v1	GCA_003189925.1	GenBank	Annotation submitted by Department of Laboratory Medicine, Karolinska Institutet	Complete Genome	8715	8715	2015-02-25	9		
Human immunodeficiency virus 1		isolate: DE00110TH001	11676	ASM318996v1	GCA_003189965.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	8916	8916	2015-02-04	9		
Human immunodeficiency virus 1		isolate: 306163_FL	11676	ASM318998v1	GCA_003189985.1	GenBank	Annotation submitted by Molecular Virology and Pathogenesis, U.S. Military HIV Research Program	Complete Genome	8527	8527	2012-12-07	9		
Human immunodeficiency virus 1		isolate: DE00210CM013	11676	ASM319002v1	GCA_003190025.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9140	9140	2013-12-13	9		
Human immunodeficiency virus 1		isolate: 701114	11676	v1.0	GCA_003190065.1	GenBank	Annotation submitted by Ragon Institute of MGH, MIT and Harvard	Complete Genome	8706	8706	2015-11-21	9		
Human immunodeficiency virus 1		isolate: CC 0048	11676	ASM319008v1	GCA_003190085.1	GenBank	Annotation submitted by Department of Virology, Statens Serum Institut	Complete Genome	8765	8765	2009-11-03	9		
Human immunodeficiency virus 1		isolate: 12MHI11-10746	11676	ASM319012v1	GCA_003190125.1	GenBank	Annotation submitted by Department of Microbiology, University of Ulsan College of Medicine	Complete Genome	9158	9158	2013-11-22	9		
Human immunodeficiency virus 1		isolate: 12MHR9	11676	ASM319014v1	GCA_003190145.1	GenBank	Annotation submitted by Department of Microbiology, University of Ulsan College of Medicine	Complete Genome	9166	9166	2013-11-22	9		
Human immunodeficiency virus 1		isolate: POC44951	11676	ASM319016v1	GCA_003190165.1	GenBank	Annotation submitted by Contact:Masashi Tatsumi National Institute of Infectious Diseases, AIDS Research Center; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	9633	9633	2009-08-20	9		
Human immunodeficiency virus 1		isolate: 12NG060418	11676	ASM319018v1	GCA_003190185.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, US Military HIV Research Program, WRAIR	Complete Genome	8702	8702	2016-07-15	9		
Human immunodeficiency virus 1		isolate: SE602024	11676	ASM319021v1	GCA_003190215.1	GenBank	Annotation submitted by Department of Laboratory Medicine, Karolinska Institutet	Complete Genome	8761	8761	2015-02-25	9		
Human immunodeficiency virus 1		isolate: 9580	11676	ASM319024v1	GCA_003190245.1	GenBank	Annotation submitted by Dept. Microbiological Diagnostics and Virology, Statens Serum Institut	Complete Genome	8833	8833	2015-11-09	4		
Human immunodeficiency virus 1		strain: ES X1870	11676	ASM319026v1	GCA_003190265.1	GenBank	Annotation submitted by Viral Pathogenesis, CNM. Instituto de Salud Carlos III	Complete Genome	9028	9028	2009-11-06	9		
Human immunodeficiency virus 1		isolate: CU7	11676	ASM319028v1	GCA_003190285.1	GenBank		Complete Genome	8512	8512	2005-04-11			
Human immunodeficiency virus 1		strain: ES X2456-2	11676	ASM319030v1	GCA_003190305.1	GenBank	Annotation submitted by Viral Pathogenesis, CNM. Instituto de Salud Carlos III	Complete Genome	8925	8925	2009-11-06	9		
Human immunodeficiency virus 1			11676	ASM319032v1	GCA_003190325.1	GenBank	Annotation submitted by Contact:Ivo Novita SahBandar Iwate Medical University School of Medicine, Microbiology; Uchimaru 19-1, Morioka, Iwate 020-8505, Japan	Complete Genome	8936	8936	2010-02-22	9		
Human immunodeficiency virus 1		isolate: 169H	11676	ASM319035v1	GCA_003190355.1	GenBank	Annotation submitted by U.S. Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8698	8698	2009-09-23	9		
Human immunodeficiency virus 1		isolate: luBF_01.03	11676	ASM319041v1	GCA_003190415.1	GenBank	Annotation submitted by Retrovirology Laboratory, Centre de Recherche Public-Sante	Complete Genome	9126	9126	2007-10-23	9		
Human immunodeficiency virus 1		isolate: SCFL14, strain: 14CN.SCYB2	11676	ASM319045v1	GCA_003190455.1	GenBank	Annotation submitted by Center for Aids/STD Control and Prevention, Sichuan Provincial Center for Disease Control and Prevention	Complete Genome	9020	9020	2016-08-08	9		
Human immunodeficiency virus 1		isolate: 15YNHS18	11676	ASM319048v1	GCA_003190485.1	GenBank	Annotation submitted by Faculty of Life Science and Technology, Kunming University of Science and Technology	Complete Genome	8656	8656	2016-09-27	9		
Human immunodeficiency virus 1		isolate: DH32	11676	ASM319050v1	GCA_003190505.1	GenBank	Annotation submitted by Division of Virology and Immunology, National Center for AIDS-STD Control and Prevention, Chinese Center for Disease Control and Prevention	Complete Genome	8952	8952	2013-11-15	9		
Human immunodeficiency virus 1		isolate: 05YNRL25sg	11676	ASM319052v1	GCA_003190525.1	GenBank	Annotation submitted by Department of Laboratory Medicine, The First Affiliated Hospital of China Medical University, Key Laboratory of AIDS Immunology of Ministry of Health	Complete Genome	8930	8930	2013-06-18	9		
Human immunodeficiency virus 1		isolate: 10NG040248	11676	ASM319054v1	GCA_003190545.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, US Military HIV Research Program, WRAIR	Complete Genome	8722	8722	2016-07-15	9		
Human immunodeficiency virus 1		isolate: LA51YBF35	11676	ASM319056v1	GCA_003190565.1	GenBank		Complete Genome	9824	9824	2016-01-11			
Human immunodeficiency virus 1		isolate: LA52YBF39	11676	ASM319058v1	GCA_003190585.1	GenBank		Complete Genome	9831	9831	2016-01-11			
Human immunodeficiency virus 1		isolate: 99CMU4122	11676	ASM319060v1	GCA_003190605.1	GenBank	Annotation submitted by Dept 09NG, AIDS Research and Retrovirus Discovery, Abbott Laboratories	Complete Genome	9186	9186	2003-10-23	9		
Human immunodeficiency virus 1			11676	ASM319064v1	GCA_003190645.1	GenBank	Annotation submitted by Virology, Hygiene Institute	Complete Genome	9868	9868	2004-08-30	9		
Human immunodeficiency virus 1		isolate: Read25_HIV_GroupO	11676	ASM319068v1	GCA_003190685.1	GenBank	Annotation submitted by Lab of Molecular Virology, FDA	Complete Genome	9077	9077	2016-07-26	9		
Human immunodeficiency virus 1		isolate: LA55RBF206	11676	ASM319070v1	GCA_003190705.1	GenBank		Complete Genome	9846	9846	2016-01-11			
Human immunodeficiency virus 1		isolate: LTNP	11676	ASM319078v1	GCA_003190785.1	GenBank		Complete Genome	9103	9103	2012-01-06			
Human immunodeficiency virus 1		isolate: 06CM-U14296	11676	ASM319080v1	GCA_003190805.1	GenBank	Annotation submitted by 09NG, Abbott Diagnostics	Complete Genome	8545	8545	2010-03-03	9		
Human immunodeficiency virus 1		isolate: N1.FR.2011	11676	ASM319084v1	GCA_003190845.1	GenBank	Annotation submitted by Seine Maritime, CHU de Rouen	Complete Genome	8892	8892	2011-10-19	9		
Human immunodeficiency virus 1		isolate: RBF168	11676	ASM319088v1	GCA_003190885.1	GenBank	Annotation submitted by Virologie, Chu de Rouen	Complete Genome	9869	9869	2009-11-02	9		
Human immunodeficiency virus 1		isolate: 98CMA105	11676	ASM319222v1	GCA_003192225.1	GenBank	Annotation submitted by Dept 09NG, AIDS Research and Retrovirus Discovery, Abbott Laboratories	Complete Genome	9195	9195	2003-10-23	9		
Human immunodeficiency virus 1		isolate: 98CMABB197	11676	ASM319224v1	GCA_003192245.1	GenBank	Annotation submitted by Dept 09NG, AIDS Research and Retrovirus Discovery, Abbott Laboratories	Complete Genome	9072	9072	2003-10-23	9		
Human immunodeficiency virus 1		isolate: 99USTWLA	11676	ASM319226v1	GCA_003192265.1	GenBank	Annotation submitted by Dept 09NG, AIDS Research and Retrovirus Discovery, Abbott Laboratories	Complete Genome	9186	9186	2003-10-23	8		
Human immunodeficiency virus 1		isolate: 04CM-1015-04	11676	ASM319228v1	GCA_003192285.1	GenBank	Annotation submitted by 09NG, Abbott Laboratories	Complete Genome	8926	8926	2005-06-16	2		
Human immunodeficiency virus 1		isolate: 04CM-1131-03	11676	ASM319230v1	GCA_003192305.1	GenBank	Annotation submitted by 09NG, Abbott Laboratories	Complete Genome	8975	8975	2005-06-16	2		
Human immunodeficiency virus 1		isolate: U14788	11676	ASM319232v1	GCA_003192325.1	GenBank	Annotation submitted by Infectious Diseases R&D, Abbott Diagnostics	Complete Genome	9238	9238	2010-11-29	9		
Human immunodeficiency virus 1		isolate: 886-24	11676	ASM319360v1	GCA_003193605.1	GenBank	Annotation submitted by Infectious Disease Research, Abbott Diagnostics	Complete Genome	9166	9166	2015-07-06	9		
Human immunodeficiency virus 1		isolate: CH256.w96	11676	ASM320249v1	GCA_003202495.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institute	Complete Genome	9705	9705	2013-02-13	9		
Human immunodeficiency virus 1		isolate: 102SE	11676	ASM385567v1	GCA_003855675.1	GenBank	Annotation submitted by LabMed, Karolinska Institutet	Complete Genome	8750	8750	2017-08-21	9		
Human immunodeficiency virus 1		isolate: 100 118	11676	ASM385569v1	GCA_003855695.1	GenBank	Annotation submitted by Unidad de Biologia y Variabilidad del VIH, Instituto de Salud Carlos III, Centro Nacional de Microbiologia	Complete Genome	8964	8964	2017-03-02	9		
Human immunodeficiency virus 1		isolate: 100ET	11676	ASM385571v1	GCA_003855715.1	GenBank	Annotation submitted by LabMed, Karolinska Institutet	Complete Genome	8819	8819	2017-08-21	9		
Human immunodeficiency virus 1		isolate: M0118v1d14-5M04-C5	11676	ASM385573v1	GCA_003855735.1	GenBank		Complete Genome	9037	9037	2017-03-09			
Human immunodeficiency virus 1		isolate: 10BR_RJ095	11676	ASM385575v1	GCA_003855755.1	GenBank	Annotation submitted by Virology, Instituto de Medicina Tropical	Complete Genome	8864	8864	2014-05-22	9		
Human immunodeficiency virus 1		isolate: 077UG	11676	ASM385577v1	GCA_003855775.1	GenBank	Annotation submitted by LabMed, Karolinska Institutet	Complete Genome	8828	8828	2017-08-21	9		
Human immunodeficiency virus 1		isolate: CO6405V4	11676	ASM385579v1	GCA_003855795.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, US Military HIV Research Program, WRAIR	Complete Genome	8754	8754	2017-01-13	9		
Human immunodeficiency virus 1		isolate: 224GX	11676	ASM385581v1	GCA_003855815.1	GenBank	Annotation submitted by State Key Laboratory of Pathogen and Biosecurity Beijing Institute of Microbiology and Epidemiology, Department of AIDS Research	Complete Genome	8847	8847	2017-09-08	9		
Human immunodeficiency virus 1		isolate: EUR-0033	11676	ASM385583v1	GCA_003855835.1	GenBank	Annotation submitted by Unidad de Biologia y Variabilidad de VIH, Instituto de Salud Carlos III. Centro Nacional de Microbiologia	Complete Genome	8894	8894	2016-03-25	9		
Human immunodeficiency virus 1		isolate: 04CMU11421	11676	ASM385585v1	GCA_003855855.1	GenBank	Annotation submitted by 09NG, Abbott Labs	Complete Genome	9077	9077	2010-01-08	9		
Human immunodeficiency virus 1		isolate: fKSDU26	11676	ASM385587v1	GCA_003855875.1	GenBank	Annotation submitted by Kunming Institute of Zoology, Chinese Academy of Sciences, Key Laboratory of Animal Models and Human Disease Mechanisms of the Chinese Academy of Sciences & Yunnan Province	Complete Genome	8376	8376	2016-03-15	9		
Human immunodeficiency virus 1		isolate: DE00115PH012	11676	ASM385589v1	GCA_003855895.1	GenBank	Annotation submitted by Medicine, Duke Human Vaccine Institution	Complete Genome	9551	9551	2017-03-22	9		
Human immunodeficiency virus 1		isolate: 070SE	11676	ASM385591v1	GCA_003855915.1	GenBank	Annotation submitted by LabMed, Karolinska Institutet	Complete Genome	8583	8583	2017-08-21	9		
Human immunodeficiency virus 1		isolate: 40436v09_04	11676	ASM385593v1	GCA_003855935.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, U.S. Military HIV Research Program - WRAIR	Complete Genome	8774	8774	2017-07-20	9	PRJNA371358	
Human immunodeficiency virus 1		isolate: 12NG060304	11676	ASM385595v1	GCA_003855955.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, US Military HIV Research Program, WRAIR	Complete Genome	8742	8742	2016-07-15	9		
Human immunodeficiency virus 1		isolate: PK032, strain: HIV-1	11676	ASM385597v1	GCA_003855975.1	GenBank	Annotation submitted by Department of Medicine, Duke Human Vaccine Institute	Complete Genome	9267	9267	2016-07-26	9		
Human immunodeficiency virus 1		isolate: 098GN	11676	ASM385599v1	GCA_003855995.1	GenBank	Annotation submitted by LabMed, Karolinska Institutet	Complete Genome	8745	8745	2017-08-21	9		
Human immunodeficiency virus 1		isolate: CO6577V5	11676	ASM385601v1	GCA_003856015.1	GenBank	Annotation submitted by Laboratory of Molecular Virology and Pathogenesis, US Military HIV Research Program, WRAIR	Complete Genome	8734	8734	2017-01-13	9		
Human immunodeficiency virus 1		isolate: 14MYNBB090	11676	ASM385603v1	GCA_003856035.1	GenBank	Annotation submitted by Department of Medical Microbiology, University of Malaya	Complete Genome	8835	8835	2017-04-27	9		
Human immunodeficiency virus 1		isolate: SX15DT013	11676	ASM385605v1	GCA_003856055.1	GenBank	Annotation submitted by Division of Virology and Immunology, Chinese Center for Disease Control and Prevention	Complete Genome	9000	9000	2017-06-09	9		
Human immunodeficiency virus 1		isolate: mSSDU94	11676	ASM385607v1	GCA_003856075.1	GenBank	Annotation submitted by Kunming Institute of Zoology, Chinese Academy of Sciences, Key Laboratory of Animal Models and Human Disease Mechanisms of the Chinese Academy of Sciences & Yunnan Province	Complete Genome	8319	8319	2016-03-15	9		
Human immunodeficiency virus 1		isolate: BRGO6043	11676	ASM385609v1	GCA_003856095.1	GenBank	Annotation submitted by IPTSP, Universidade Federal de Goias	Complete Genome	9026	9026	2017-07-19	9		
Human immunodeficiency virus 1		isolate: RBF206	11676	ASM385611v1	GCA_003856115.1	GenBank	Annotation submitted by Department of Medicine, Perelman School of Medicine, University of Pennsylvania	Complete Genome	9885	9885	2017-02-02	9		
Human immunodeficiency virus 1		isolate: S4858	11676	ASM385615v1	GCA_003856155.1	GenBank		Complete Genome	9072	9072	2017-02-23			
Human immunodeficiency virus 1			11676	ViralProj15476	GCF_000864765.1	RefSeq	Annotation submitted by NCBI RefSeq	Complete Genome	9181	9181	2000-08-01	10		
